0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Pose
118.0,132.0,124.0,-1.0,-1.0,137.0,130.0,-1.0,162.0,190.0,220.0,173.0,-1.0,-1.0,114.0,118.0,114.0,124.0,tree
90.0,113.0,106.0,97.0,-1.0,120.0,-1.0,-1.0,147.0,-1.0,-1.0,159.0,-1.0,-1.0,84.0,88.0,88.0,97.0,tree
107.0,118.0,109.0,-1.0,-1.0,129.0,-1.0,-1.0,143.0,-1.0,-1.0,181.0,-1.0,-1.0,101.0,108.0,98.0,111.0,tree
98.0,113.0,97.0,68.0,63.0,115.0,112.0,104.0,152.0,186.0,-1.0,163.0,-1.0,-1.0,92.0,96.0,89.0,99.0,tree
63.0,86.0,77.0,87.0,-1.0,101.0,132.0,-1.0,122.0,128.0,-1.0,147.0,-1.0,-1.0,58.0,63.0,60.0,70.0,tree
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,tree
75.0,100.0,87.0,93.0,101.0,110.0,136.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.0,71.0,70.0,82.0,tree
77.0,97.0,92.0,114.0,105.0,101.0,128.0,108.0,141.0,193.0,234.0,147.0,181.0,-1.0,74.0,76.0,74.0,79.0,tree
104.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99.0,103.0,100.0,104.0,tree
97.0,117.0,113.0,82.0,-1.0,118.0,95.0,71.0,159.0,-1.0,-1.0,164.0,185.0,-1.0,92.0,94.0,95.0,100.0,tree
74.0,94.0,88.0,109.0,106.0,102.0,132.0,111.0,143.0,165.0,-1.0,155.0,188.0,227.0,70.0,72.0,70.0,78.0,tree
112.0,124.0,120.0,107.0,-1.0,127.0,126.0,-1.0,156.0,-1.0,-1.0,167.0,199.0,228.0,106.0,110.0,108.0,114.0,tree
95.0,116.0,112.0,-1.0,-1.0,123.0,-1.0,-1.0,139.0,-1.0,-1.0,151.0,203.0,234.0,91.0,95.0,93.0,102.0,tree
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,tree
102.0,119.0,114.0,-1.0,-1.0,124.0,118.0,-1.0,149.0,162.0,-1.0,161.0,190.0,224.0,99.0,101.0,98.0,105.0,tree
104.0,120.0,114.0,-1.0,-1.0,127.0,-1.0,-1.0,150.0,185.0,220.0,161.0,185.0,-1.0,99.0,102.0,98.0,106.0,tree
95.0,117.0,113.0,82.0,66.0,121.0,144.0,-1.0,163.0,196.0,229.0,162.0,190.0,196.0,91.0,94.0,-1.0,102.0,tree
141.0,156.0,152.0,126.0,-1.0,157.0,-1.0,-1.0,190.0,222.0,254.0,191.0,217.0,-1.0,138.0,140.0,139.0,144.0,tree
107.0,126.0,121.0,109.0,-1.0,134.0,110.0,-1.0,157.0,170.0,208.0,173.0,207.0,236.0,104.0,108.0,103.0,113.0,tree
104.0,114.0,108.0,-1.0,-1.0,123.0,120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97.0,102.0,97.0,107.0,tree
100.0,116.0,110.0,-1.0,-1.0,121.0,-1.0,-1.0,151.0,187.0,218.0,155.0,-1.0,-1.0,97.0,99.0,98.0,105.0,tree
73.0,101.0,91.0,103.0,113.0,107.0,129.0,116.0,139.0,149.0,-1.0,153.0,197.0,-1.0,67.0,70.0,69.0,77.0,tree
61.0,84.0,80.0,105.0,99.0,92.0,121.0,101.0,126.0,-1.0,-1.0,132.0,156.0,-1.0,58.0,61.0,60.0,66.0,tree
